carrier_key,name,iata,country,type,in_fetch_manifest,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,has_capture_folder,latest_capture_set,ok_pages,failed_pages,has_candidates,has_fact_file,has_review_file,prefilled_conditions_url,missing_fields,notes,matched_source_airline_id,enrichment_sources,skip_reason
aigle-azur,Aigle Azur,ZI,France,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,yes,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
air-anka,Air Anka,6K,Turkey,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
air-antilles,Air Antilles,4I,France,Low-cost,no,,,Europe,https://izair.com.tr,,,,,,,,,no,,0,0,no,no,no,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,izair-397,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
air-arabia-abu-dhabi,Air Arabia Abu Dhabi,3L,United Arab Emirates,Low-cost,no,,,Middle East,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
air-arabia-maroc,Air Arabia Maroc,3O,Morocco,Low-cost,no,,,Africa,,,,,,,,,,no,,0,0,no,yes,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
air-atlanta-europe,Air Atlanta Europe,CT,United Kingdom,Scheduled,no,en,,Europe,https://airatlanta.com,,,,,,,,,no,,0,0,no,no,no,,band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,air-atlanta-europe-1393,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
air-berlin,Air Berlin,HE,Germany,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
air-busan,Air Busan,BX,South Korea,Low-cost,no,,,Asia,,,,,,,,,,no,,0,0,no,yes,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
air-canada-express,Air Canada Express,QK,Canada,Scheduled,no,en,,North America,https://flyjazz.ca,,,,,,,,,no,,0,0,no,no,no,,band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,jazz-aviation-413,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
air-cargo-carriers-llc,"Air Cargo Carriers, LLC.",2Q,United States,Scheduled,no,en,,North America,https://aircar.com,,,,,,,,,no,,0,0,no,yes,no,,band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",air-cargo-carriers-686,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
air-cargo-germany,Air Cargo Germany,6U,Germany,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
air-djibouti,Air Djibouti,DJ,Djibouti,Scheduled,no,,,,https://air-djibouti.com,https://air-djibouti.com/contact.php,,,,,,,,no,,0,0,no,yes,no,,locale;band;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",air-djibouti-1502,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
air-excel,Air Excel,0X,Tanzania,Scheduled,no,,,Africa,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
air-flamenco,Air Flamenco,F4,United States,Scheduled,no,en,,North America,https://airflamenco.net,,,,,,,,,no,,0,0,no,no,no,,band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,air-flamenco-1243,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
