carrier_key,name,iata,country,type,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,notes,has_fact_file,has_review_file
air-vanuatu,Air Vanuatu,NF,Vanuatu,Scheduled,,,,https://www.airvanuatu.com,,,,,,,https://www.airvanuatu.com/travel-info/conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-wisconsin,Air Wisconsin,ZW,United States,Scheduled,,,,,,,,,,,,,,no,no
air-x-charter,Air X Charter,AX,Malta,Scheduled,,,,,,,,,,,,,,no,no
air-zimbabwe,Air Zimbabwe,UM,Zimbabwe,Scheduled,,,,,,,,,,,,,,yes,no
airasia-cambodia,AirAsia Cambodia,KT,Cambodia,Low-cost,,,,,,,,,,,,,,no,no
airbaltic,airBaltic,BT,Latvia,Low-cost,,,,https://www.airbaltic.com,,,,,,,https://www.airbaltic.com/en-GB/general-conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,yes
airblue,airblue,PA,Pakistan,Low-cost,,,,https://www.airblue.com,,,,,,,https://www.airblue.com/corp/terms,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
airborneo,AirBorneo,MY,Malaysia,Scheduled,,,,,,,,,,,,,,no,no
airbridgecargo,AirBridgeCargo,RU,Russia,Scheduled,,,,,,,,,,,,,,yes,no
aircalin,Aircalin,SB,New Caledonia,Scheduled,,,,,,,,,,,,,,yes,no
airconnect,AirConnect,KS,Romania,Scheduled,,,,,,,,,,,,,,no,no
airdolomiti,AirDolomiti,EN,Italy,Scheduled,,,,https://www.airdolomiti.eu,,,,,,,https://www.airdolomiti.eu/legal-info/air-carrier-liability,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,no,no
airexplore,AirExplore,ED,Slovakia,Scheduled,,,,,,,,,,,,,,no,no
airfast-indonesia,Airfast Indonesia,1T,Indonesia,Scheduled,,,,,,,,,,,,,,no,no
airhub-airlines,Airhub Airlines,RE,Malta,Scheduled,,,,,,,,,,,,,,no,no
airkenya,AirKenya,P2,Kenya,Scheduled,,,,,,,,,,,,,,yes,no
airline-urga,Airline Urga,3N,Ukraine,Scheduled,,,,,,,,,,,,,,yes,no
airlink,Airlink,4Z,Austria,Scheduled,,,,https://www.flyairlink.com,,,,,,,https://www.flyairlink.com/en/za/conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
airmax-sa,Airmax S.A.,X8,Peru,Scheduled,,,,,,,,,,,,,,no,no
airnorth,Airnorth,TL,Australia,Scheduled,,,,https://www.airnorth.com.au,,,,,,,https://www.airnorth.com.au/plan/fare-information/conditions-of-carriage/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
airshop-bv,Airshop B.V.,FF,Netherlands,Scheduled,,,,,,,,,,,,,,no,no
airswift,AirSWIFT,T6,Philippines,Scheduled,,,,,,,,,,,,,,no,no
airzena,Airzena,LV,Georgia,Scheduled,,,,,,,,,,,,,,no,no
ais-airlines,AIS Airlines,0C,Netherlands,Scheduled,,,,,,,,,,,,,,no,no
aix-connect,AIX Connect,I5,India,Low-cost,,,,,,,,,,,,,,no,no
ajet,Ajet,VF,Cyprus,Low-cost,,,,,,,,,,,,,,yes,no
ak-bars-aero,Ak Bars Aero,2B,Russia,Low-cost,,,,,,,,,,,,,,no,no
akasa-air,Akasa Air,QP,India,Low-cost,,,,,,,,,,,,,,no,no
aklak-air,Aklak Air,6L,Canada,Scheduled,,,,,,,,,,,,,,yes,no
alaska-seaplanes,Alaska Seaplanes,J5,United States,Scheduled,,,,,,,,,,,,,,no,no
albastar,AlbaStar,AP,Spain,Scheduled,,,,,,,,,,,,,,no,no
alexandria-airlines,Alexandria Airlines,DQ,Egypt,Scheduled,,,,,,,,,,,,,,no,no
all-nippon-airways,All Nippon Airways,NH,Japan,Scheduled,,,,https://www.ana.co.jp,,,,,,,https://www.ana.co.jp/en/gb/siteinfo/international/conditions-of-carriage/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
allegiant-air,Allegiant Air,G4,United States,Low-cost,,,,https://www.allegiantair.com,,,,,,,https://www.allegiantair.com/contract-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
alliance-air,Alliance Air,9I,India,Scheduled,,,,,,,,,,,,,,no,no
alliance-airlines,Alliance Airlines,QQ,Australia,Scheduled,,,,https://www.allianceairlines.com.au,,,,,,,https://www.allianceairlines.com.au/terms-conditions,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,no,no
almasria-universal-airlines,AlMasria Universal Airlines,UJ,Egypt,Scheduled,,,,,,,,,,,,,,yes,no
alpavia,ALPAVIA,AL,United States,Low-cost,,,,,,,,,,,,,,no,no
