carrier_key,name,iata,country,type,in_fetch_manifest,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,has_capture_folder,latest_capture_set,ok_pages,failed_pages,has_candidates,has_fact_file,has_review_file,prefilled_conditions_url,missing_fields,notes
globus-lls,Globus LLС,XT,Russia,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
gojet-airlines,GoJet Airlines,G7,United States,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
gol-transportes-aereos,Gol Transportes Aéreos,G3,Brazil,Low-cost,yes,en,manual-priority,South America,https://www.voegol.com.br,,,,,,,https://www.voegol.com.br/en-us/legal-information/passenger-air-transportation-agreement,,yes,2026-09-03,0,1,no,yes,no,https://www.voegol.com.br/en-us/legal-information/passenger-air-transportation-agreement,baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;article_selector,1/6 urls imported from filled priority CSV
grand-canyon-scenic-airlines,Grand Canyon Scenic Airlines,YR,United States,Scheduled,yes,en-us,manual-priority,North America,https://www.grandcanyonairlines.com/contact,https://www.grandcanyonairlines.com/contact,,,,,,https://www.grandcanyonairlines.com/contract-of-carriage,,yes,2026-09-03,1,0,no,yes,no,,baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;article_selector,1/6 urls imported from filled priority CSV
grand-china-air,Grand China Air,CN,China,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,yes,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
grant-aviation,Grant Aviation,GV,United States,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
great-lakes-airlines,Great Lakes Airlines,ZK,United States,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
greater-bay-airlines,Greater Bay Airlines,HB,Hong Kong,Low-cost,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
green-africa-airways,Green Africa Airways,Q9,Nigeria,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
grumeti-air,Grumeti Air,0G,Libya,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
gulf-air,Gulf Air,GF,Bahrain,Scheduled,yes,en,manual-priority,Asia,https://www.gulfair.com,,https://www.gulfair.com/help/baggage/personal-items,https://www.gulfair.com/help/baggage/personal-items,https://www.gulfair.com/help/baggage/personal-items,,,https://www.gulfair.com/transparency/conditions-of-carriage,,yes,2026-09-03,0,4,no,yes,no,https://www.gulfair.com/transparency/conditions-of-carriage,fare_conditions_url;checkin_url;article_selector,4/6 urls imported from filled priority CSV
gullivair,GullivAir,G2,Bulgaria,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
guyane-express-fly,Guyane Express Fly,G8,French Guiana,Low-cost,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
hk-express,HK Express,UO,Hong Kong SAR of China,Low-cost,yes,en-hk,1b,East Asia,,,https://www.hkexpress.com/en-hk/plan/travel-information/baggage/checked-baggage/,https://www.hkexpress.com/en-hk/plan/travel-information/baggage/cabin-baggage/,https://www.hkexpress.com/en-hk/plan/travel-information/fees-and-charges/,https://www.hkexpress.com/en-hk/plan/fare-types/,https://www.hkexpress.com/en-hk/plan/travel-information/check-in/,https://www.hkexpress.com/en-hk/about-us/conditions-of-carriage/,,yes,2026-09-03,0,6,no,yes,yes,,article_selector,6/6 urls
hop,HOP!,A5,France,Low-cost,no,,,,,,,,,,,,,no,,0,0,no,no,yes,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
hahn-air,Hahn Air,H1,Germany,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
hahn-air-technologies,Hahn Air Technologies,X1,Germany,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
hainan-airlines,Hainan Airlines,HU,China,Scheduled,yes,en,manual-priority,Asia,https://www.hainanairlines.com,,https://www.hainanairlines.com/go/Baggage/Checked_Baggage_before_25JUL.pdf,https://www.hainanairlines.com/go/Baggage/Checked_Baggage_before_25JUL.pdf,https://www.hainanairlines.com/go/Baggage/Checked_Baggage_before_25JUL.pdf,,,https://www.hainanairlines.com/HUPortal/dyn/portal/DisplayPage?LANGUAGE=GB&COUNTRY_SITE=GB&SITE=CBHZCBHZ&PAGE=TECO,,yes,2026-09-03,0,4,no,yes,yes,https://www.hainanairlines.com/HUPortal/dyn/portal/DisplayPage?LANGUAGE=GB&COUNTRY_SITE=GB&SITE=CBHZCBHZ&PAGE=TECO,fare_conditions_url;checkin_url;article_selector,4/6 urls imported from filled priority CSV
halcyonair,Halcyonair,7Z,Cape Verde,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
harbour-air-seaplanes,Harbour Air Seaplanes,YB,Canada,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
