carrier_key,name,iata,country,type,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,notes,has_fact_file,has_review_file
air-mauritius,Air Mauritius,MK,Mauritius,Scheduled,,,,https://www.airmauritius.com,,,,,,,https://www.airmauritius.com/conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-mekong,Air Mekong,P8,Vietnam,Scheduled,,,,,,,,,,,,,,yes,no
air-moana,Air Moana,NM,French Polynesia,Scheduled,,,,,,,,,,,,,,yes,no
air-moldova,Air Moldova,9U,Moldova,Scheduled,,,,https://www.airmoldova.md,,,,,,,https://www.airmoldova.md/terms-of-carriage-en/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-namibia,Air Namibia,SW,Namibia,Scheduled,,,,,,,,,,,,,,yes,no
air-niamey,Air Niamey,A7,Niger,Low-cost,,,,,,,,,,,,,,yes,no
air-niugini,Air Niugini,PX,Papua New Guinea,Scheduled,,,,https://www.airniugini.com.pg,,,,,,,https://www.airniugini.com.pg/conditions-of-carriage/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-north,Air North,4N,Canada,Scheduled,,,,https://www.flyairnorth.com,,,,,,,https://www.flyairnorth.com/support,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-nostrum,Air Nostrum,YW,Spain,Scheduled,,,,,,,,,,,,,,yes,no
air-rarotonga,Air Rarotonga,GZ,Cook Islands,Scheduled,,,,,,,,,,,,,,yes,no
air-saint-pierre,Air Saint Pierre,PJ,France,Scheduled,,,,,,,,,,,,,,yes,no
air-serbia,Air Serbia,JU,Serbia,Scheduled,,,,https://www.airserbia.com,,,,,,,https://www.airserbia.com/en/footer_copy_menu/legal/general-conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-seychelles,Air Seychelles,HM,Seychelles,Scheduled,,,,https://www.airseychelles.com,,,,,,,https://www.airseychelles.com/en/conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-tahiti,Air Tahiti,VT,French Polynesia,Scheduled,,,,https://www.airtahitinui.com,,,,,,,https://www.airtahitinui.com/uk-en/conditions-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-tahiti-nui,Air Tahiti Nui,TN,France,Scheduled,,,,https://www.airtahitinui.com,,,,,,,https://www.airtahitinui.com/uk-en/conditions-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-tanzania,Air Tanzania,TC,Tanzania,Scheduled,,,,https://www.airtanzania.co.tz,,,,,,,https://www.airtanzania.co.tz/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-thanlwin,Air Thanlwin,ST,Myanmar,Scheduled,,,,,,,,,,,,,,yes,no
air-tindi,Air Tindi,8T,Canada,Scheduled,,,,,,,,,,,,,,yes,no
air-transat,Air Transat,TS,Canada,Scheduled,,,,https://www.airtransat.com,,,,,,,https://www.airtransat.com/en-GB/legal-notice-uk/general-terms-and-conditions,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-transport-international-llc,Air Transport International L.L.C.,8C,United States,Scheduled,,,,,,,,,,,,,,yes,no
air-vanuatu,Air Vanuatu,NF,Vanuatu,Scheduled,,,,https://www.airvanuatu.com,,,,,,,https://www.airvanuatu.com/travel-info/conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
air-zimbabwe,Air Zimbabwe,UM,Zimbabwe,Scheduled,,,,,,,,,,,,,,yes,no
airbaltic,airBaltic,BT,Latvia,Low-cost,,,,https://www.airbaltic.com,,,,,,,https://www.airbaltic.com/en-GB/general-conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,yes
airblue,airblue,PA,Pakistan,Low-cost,,,,https://www.airblue.com,,,,,,,https://www.airblue.com/corp/terms,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
airbridgecargo,AirBridgeCargo,RU,Russia,Scheduled,,,,,,,,,,,,,,yes,no
aircalin,Aircalin,SB,New Caledonia,Scheduled,,,,,,,,,,,,,,yes,no
airkenya,AirKenya,P2,Kenya,Scheduled,,,,,,,,,,,,,,yes,no
airline-urga,Airline Urga,3N,Ukraine,Scheduled,,,,,,,,,,,,,,yes,no
airlink,Airlink,4Z,Austria,Scheduled,,,,https://www.flyairlink.com,,,,,,,https://www.flyairlink.com/en/za/conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
airnorth,Airnorth,TL,Australia,Scheduled,,,,https://www.airnorth.com.au,,,,,,,https://www.airnorth.com.au/plan/fare-information/conditions-of-carriage/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
ajet,Ajet,VF,Cyprus,Low-cost,,,,,,,,,,,,,,yes,no
aklak-air,Aklak Air,6L,Canada,Scheduled,,,,,,,,,,,,,,yes,no
all-nippon-airways,All Nippon Airways,NH,Japan,Scheduled,,,,https://www.ana.co.jp,,,,,,,https://www.ana.co.jp/en/gb/siteinfo/international/conditions-of-carriage/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
allegiant-air,Allegiant Air,G4,United States,Low-cost,,,,https://www.allegiantair.com,,,,,,,https://www.allegiantair.com/contract-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
almasria-universal-airlines,AlMasria Universal Airlines,UJ,Egypt,Scheduled,,,,,,,,,,,,,,yes,no
amakusa-airlines,Amakusa Airlines,MZ,Japan,Scheduled,,,,,,,,,,,,,,yes,no
amerijet-international-inc,Amerijet International Inc.,M6,United States,Scheduled,,,,,,,,,,,,,,yes,no
ana-wings,ANA Wings,EH,Japan,Scheduled,,,,https://www.ana.co.jp,,,,,,,https://www.ana.co.jp/en/gb/siteinfo/international/conditions-of-carriage/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
ariana-afghan-airlines,Ariana Afghan Airlines,FG,Afghanistan,Scheduled,,,,https://www.flyariana.com,,,,,,,https://www.flyariana.com/FooterLinks/Legal,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
arik-air,Arik Air,W3,Nigeria,Scheduled,,,,,,,,,,,,,,yes,no
arkia,Arkia,IZ,Israel,Scheduled,,,,https://www.arkia.co.il,,,,,,,https://www.arkia.co.il/content/movil-domestic,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
aserca-airlines,Aserca Airlines,R7,Venezuela,Scheduled,,,,,,,,,,,,,,yes,no
asiana-airlines,Asiana Airlines,OZ,South Korea,Scheduled,,,,https://flyasiana.com,,,,,,,https://flyasiana.com/C/GB/EN/contents/terms-of-transportation-and-notification,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
asl-airlines-france,ASL Airlines France,5O,France,Scheduled,,,,https://www.aslairlines.fr,,,,,,,https://www.aslairlines.fr/wp-content/uploads/2013/04/190219-GAL-CONDITIONS-OF-CARRIAGE-2019-1.pdf,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
atlantic-airways,Atlantic Airways,RC,Faroe Islands,Low-cost,,,,https://www.atlanticairways.com,,,,,,,https://www.atlanticairways.com/media/1523/iata_conditions-of-contract_en.pdf,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
atlas-air,Atlas Air,5Y,United States,Scheduled,,,,,,,,,,,,,,yes,no
atran,Atran,V8,Russia,Scheduled,,,,,,,,,,,,,,yes,no
austrian-airlines,Austrian Airlines,OS,Austria,Scheduled,,,,https://www.austrian.com,,,,,,,https://www.austrian.com/es/en/legal/conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
