name,slug,iata,country,type
Sunlight Air,sunlight-air,2R,Canada,Scheduled
Sunrise Airways,sunrise-airways,S6,Haiti,Scheduled
Sunrise Dominicana,sunrise-dominicana,D6,South Africa,Scheduled
"Sunsplash Aviation, LLC.",sunsplash-aviation-llc,YH,Colombia,Scheduled
Sunwing Airlines,sunwing-airlines,WG,Canada,Low-cost
Suparna Airlines,suparna-airlines,Y8,People's Republic of China,Scheduled
Super Air Jet,super-air-jet,IU,Indonesia,Low-cost
Surinam Airways,surinam-airways,PY,Suriname,Scheduled
Swiftair,swiftair,WT,Spain,Scheduled
Swoop,swoop,WO,Canada,Low-cost
Sylt Air GmbH,sylt-air-gmbh,7E,Germany,Scheduled
SyrianAir,syrianair,RB,Syria,Scheduled
T'way Air,tway-air,TW,South Korea,Low-cost
TAAG Angola,taag-angola,DT,Angola,Scheduled
TAB - Transportes Aéreos Bolivianos,tab-transportes-aereos-bolivianos,B1,Bolivia,Scheduled
TAG Airlines,tag-airlines,5U,Switzerland,Scheduled
TAME,tame,EQ,Ecuador,Scheduled
TAP Air Portugal,tap-air-portugal,TP,Portugal,Scheduled
TAR Aerolíneas,tar-aerolineas,YQ,Mexico,Scheduled
THAI Airways,thai-airways,TG,Thailand,Scheduled
THAI Smile,thai-smile,WE,Thailand,Low-cost
TIK Systems,tik-systems,T1,Turkey,Scheduled
TRIP Linhas Aéreas,trip-linhas-aereas,T4,Brazil,Scheduled
TUI Airways,tui-airways,BY,United Kingdom,Scheduled
TUI fly Deutschland,tui-fly-deutschland,X3,Germany,Scheduled
TUIfly Netherlands,tuifly-netherlands,OR,Netherlands,Scheduled
TUIfly Nordiс,tuifly-nordis,6B,Sweden,Scheduled
Tailwind Airlines,tailwind-airlines,TI,Turkey,Scheduled
Tajik Air,tajik-air,7J,Tajikistan,Scheduled
Tampa Cargo,tampa-cargo,QT,Colombia,Scheduled
Tandem Aero,tandem-aero,TQ,Moldova,Scheduled
Taquan Air,taquan-air,K3,United States,Scheduled
Tarco Aviation,tarco-aviation,3T,Sudan,Scheduled
Tarom,tarom,RO,Romania,Scheduled
Tashkent Air,tashkent-air,U7,Uzbekistan,Scheduled
Tassili Airlines,tassili-airlines,SF,Algeria,Scheduled
Tatarstan Airlines,tatarstan-airlines,U9,Russia,Scheduled
Tayaran Jet,tayaran-jet,E8,Jordan,Low-cost
Tbilisi Airways,tbilisi-airways,TD,,Scheduled
Terra Avia,terra-avia,T8,Ireland,Scheduled
Texel Air Ltd,texel-air-ltd,TT,Lithuania,Low-cost
TezJet,tezjet,K9,Cambodia,Scheduled
Thai AirAsia,thai-airasia,FD,Thailand,Low-cost
Thai AirAsia X,thai-airasia-x,XJ,Thailand,Low-cost
Thai Lion Air,thai-lion-air,SL,Thailand,Low-cost
Thai Vietjet Air,thai-vietjet-air,VZ,Thailand,Low-cost
The Landline Company,the-landline-company,L4,Italy,Scheduled
Thomas Cook Airlines,thomas-cook-airlines,MT,Belgium,Scheduled
Thomas Cook Airlines Belgium,thomas-cook-airlines-belgium,HQ,Belgium,Scheduled
Tianjin Airlines,tianjin-airlines,GS,China,Scheduled
Tibet Airlines,tibet-airlines,TV,China,Scheduled
Tigerair Mandala,tigerair-mandala,RI,Indonesia,Scheduled
Tigerair Taiwan,tigerair-taiwan,IT,Taiwan,Low-cost
Titan Airways Limited,titan-airways-limited,ZT,United Kingdom,Scheduled
Toki Air,toki-air,BV,Italy,Low-cost
Total Linhas Aereas,total-linhas-aereas,0T,Brazil,Scheduled
Trade Air,trade-air,C3,Croatia,Scheduled
Tradewind Aviation,tradewind-aviation,TJ,United States,Scheduled
Trans Air Congo,trans-air-congo,Q8,Republic of the Congo,Scheduled
Transair Senegal,transair-senegal,R2,Senegal,Scheduled
Transavia,transavia,HV,Netherlands,Low-cost
Transavia France,transavia-france,TO,France,Low-cost
Transnusa,transnusa,8B,Indonesia,Scheduled
Travel Service Slovensko,travel-service-slovensko,6D,Slovakia,Scheduled
Travel Technology Interactive SA,travel-technology-interactive-sa,Y1,France,Scheduled
Travelsky Technology Limited,travelsky-technology-limited,1E,China,Scheduled
Trenitalia,trenitalia,7T,Switzerland,Scheduled
Trigana Air Service,trigana-air-service,IL,Indonesia,Scheduled
Tropic Air,tropic-air,9N,Belize,Scheduled
Tunisair,tunisair,TU,Tunisia,Scheduled
Tunisair Express,tunisair-express,UG,Tunisia,Scheduled
Turkish Airlines,turkish-airlines,TK,Turkey,Scheduled
Turkmenistan Airlines,turkmenistan-airlines,T5,Turkmenistan,Scheduled
Tus Airways,tus-airways,U8,Armenia,Low-cost
Twin Jet,twin-jet,T7,France,Scheduled
UBM Aviation - OAG,ubm-aviation-oag,CR,United Kingdom,Scheduled
UIA,uia,PS,Ukraine,Scheduled
ULS Airlines Cargo,uls-airlines-cargo,GO,Turkey,Scheduled
UPS,ups,5X,United States,Scheduled
UR Airlines,ur-airlines,UD,Armenia,Scheduled
US-Bangla Airlines,us-bangla-airlines,BS,Bangladesh,Scheduled
UTair,utair,ЮЭ,Russia,Scheduled
UVT Aero,uvt-aero,RT,Russia,Scheduled
Uganda Airlines,uganda-airlines,UR,Uganda,Scheduled
Ultimate Jetcharters,ultimate-jetcharters,UE,Russia,Scheduled
Umza Air,umza-air,UY,Cameroon,Scheduled
Uni Air,uni-air,B7,Taiwan,Scheduled
Uni-Top Airlines,uni-top-airlines,UW,,Scheduled
United Airlines,united-airlines,UA,United States,Scheduled
United Nigeria Airlines,united-nigeria-airlines,UN,Nigeria,Scheduled
Universal Air,universal-air,VO,Malta,Scheduled
Up Israel,up-israel,86,Israel,Scheduled
Ural Airlines,ural-airlines,U6,Russia,Scheduled
Urumqi Air,urumqi-air,UQ,Uganda,Scheduled
Uzbekistan Airways,uzbekistan-airways,HY,Uzbekistan,Scheduled
Uzbekistan Express,uzbekistan-express,0H,Uzbekistan,Low-cost
VIM Airlines,vim-airlines,NN,Russia,Scheduled
VLM Airlines,vlm-airlines,VG,Belgium,Scheduled
VOEPASS Linhas Aéreas,voepass-linhas-aereas,2Z,Brazil,Scheduled
ValueJet,valuejet,VK,Nigeria,Low-cost
Vanilla Air,vanilla-air,JW,Japan,Low-cost
Videcom International Limited,videcom-international-limited,U1,United Kingdom,Scheduled
Vieques Air Link,vieques-air-link,V4,United States,Scheduled
Vietjet,vietjet,VJ,Vietnam,Low-cost
Vietnam Airlines,vietnam-airlines,VN,Vietnam,Scheduled
Vietravel Airlines,vietravel-airlines,VU,Vietnam,Scheduled
Villa Air,villa-air,VP,Vietnam,Scheduled
Virgin America,virgin-america,VX,United States,Low-cost
Virgin Atlantic,virgin-atlantic,VS,United Kingdom,Scheduled
Virgin Australia,virgin-australia,VA,Australia,Scheduled
Vision Air (Moldova),vision-air-moldova,4V,Moldova,Scheduled
Vistara,vistara,UK,India,Scheduled
Viva Aerobus,viva-aerobus,VB,Mexico,Low-cost
Viva Air Colombia,viva-air-colombia,VH,Colombia,Low-cost
Vladivostok Air,vladivostok-air,XF,Russia,Scheduled
Volaris,volaris,Y4,Mexico,Low-cost
Volaris Costa Rica,volaris-costa-rica,Q6,Costa Rica,Low-cost
Volaris El Salvador,volaris-el-salvador,N3,El Salvador,Low-cost
Volga-Dnepr Airlines,volga-dnepr-airlines,VI,Russia,Scheduled
Volo,volo,DC,Sweden,Scheduled
Volotea,volotea,V7,Spain,Low-cost
Vueling,vueling,VY,Spain,Low-cost
WOW Air,wow-air,WW,Iceland,Low-cost
Wamos Air,wamos-air,EB,Spain,Scheduled
Warbelows Air,warbelows-air,4W,Nigeria,Scheduled
Webjet Linhas Aereas,webjet-linhas-aereas,WH,Germany,Scheduled
West Air,west-air,PN,China,Low-cost
West Link Airlines,west-link-airlines,9L,United States,Scheduled
WestJet,westjet,WS,Canada,Low-cost
WestJet Encore,westjet-encore,WR,Canada,Low-cost
Western Air,western-air,WU,Bahamas,Scheduled
White Airways,white-airways,WI,Portugal,Scheduled
Widerøe,wideroe,WF,Norway,Scheduled
Winair,winair,WM,United States,Scheduled
Windrose Airlines,windrose-airlines,7W,Ukraine,Scheduled
Wingo,wingo,P5,Colombia,Scheduled
Wings Air,wings-air,IW,Indonesia,Low-cost
Wings of Lebanon,wings-of-lebanon,W7,Lebanon,Scheduled
Wizz Air,wizz-air,W6,Hungary,Low-cost
Wizz Air Abu Dhabi,wizz-air-abu-dhabi,5W,United Arab Emirates,Low-cost
Wizz Air Malta,wizz-air-malta,W4,Malta,Low-cost
Wizz Air UK,wizz-air-uk,W9,United Kingdom,Scheduled
World Atlantic Airlines,world-atlantic-airlines,WL,United States,Scheduled
World Ticket Ltd,world-ticket-ltd,W1,Canada,Scheduled
World2Fly,world2fly,2W,Austria,Scheduled
World2Fly (Portugal),world2fly-portugal,3P,Portugal,Scheduled
Worldspan,worldspan,1P,United States,Scheduled
Wright Air Service,wright-air-service,8V,United States,Scheduled
XEJet,xejet,4U,Germany,Scheduled
Xiamen Airlines,xiamen-airlines,MF,China,Scheduled
XpressAir,xpressair,XN,Indonesia,Scheduled
YANAIR,yanair,YE,Iran,Scheduled
YTO Cargo Airlines,yto-cargo-airlines,YG,Ukraine,Scheduled
Yakutia Airlines,yakutia-airlines,R3,Russia,Scheduled
Yamal Airlines,yamal-airlines,YC,Russia,Scheduled
Yemenia,yemenia,IY,Yemen,Scheduled
Yeti Airlines,yeti-airlines,YT,Nepal,Scheduled
ZIPAIR,zipair,ZG,Japan,Low-cost
Zagros Airlines,zagros-airlines,ZO,Iran,Scheduled
Zambezi Airlines,zambezi-airlines,ZJ,Zambia,Scheduled
Zambia Airways,zambia-airways,ZN,Zambia,Scheduled
"Zapways, Inc.",zapways-inc,R1,Philippines,Scheduled
Zimex Aviation,zimex-aviation,XM,Switzerland,Scheduled
aero,aero,N2,Estonia,Scheduled
airBaltic,airbaltic,BT,Latvia,Low-cost
airblue,airblue,PA,Pakistan,Low-cost
avianca express,avianca-express,EX,Colombia,Scheduled
easyJet,easyjet,DS,United Kingdom,Low-cost
flyCAA,flycaa,BU,Democratic Republic of the Congo,Scheduled
flyadeal,flyadeal,F3,Saudi Arabia,Low-cost
iFly,ifly,F7,Switzerland,Scheduled
jetBlue,jetblue,B6,United States,Low-cost
