name,slug,iata,country,type
Aviacon Zitotrans Air Company JSC,aviacon-zitotrans-air-company-jsc,ZR,Russia,Scheduled
Avialeasing Aviation Company,avialeasing-aviation-company,V2,Uzbekistan,Scheduled
Avianca,avianca,AV,Colombia,Scheduled
Avianca Brazil,avianca-brazil,O6,Brazil,Scheduled
Avianca Costa Rica,avianca-costa-rica,LR,Costa Rica,Scheduled
Avianca Ecuador,avianca-ecuador,2K,Ecuador,Scheduled
Avianca El Salvador,avianca-el-salvador,TA,El Salvador,Scheduled
Avianca Guatemala,avianca-guatemala,GU,Guatemala,Scheduled
Avianca Peru,avianca-peru,T0,Peru,Scheduled
Aviastar-TU,aviastar-tu,4B,Russia,Scheduled
Avion Express Lithuania,avion-express-lithuania,X9,Lithuania,Scheduled
Avion Express Malta,avion-express-malta,4X,Malta,Scheduled
Avior Airlines,avior-airlines,3R,Venezuela,Scheduled
Azerbaijan Airlines,azerbaijan-airlines,J2,Azerbaijan,Scheduled
Azimuth,azimuth,A4,Russia,Scheduled
Aztec Airways,aztec-airways,AJ,United States,Scheduled
Azul Airlines,azul-airlines,AD,Brazil,Low-cost
BA Cityflyer,ba-cityflyer,CJ,United Kingdom,Scheduled
BA Euroflyer,ba-euroflyer,A0,United Kingdom,Scheduled
BB Airways,bb-airways,BO,Nepal,Scheduled
BBN Airlines,bbn-airlines,B5,Indonesia,Scheduled
BH Air,bh-air,8H,Bulgaria,Scheduled
BMI regional,bmi-regional,BM,United Kingdom,Scheduled
BQB Lineas Aereas,bqb-lineas-aereas,5Q,Uruguay,Scheduled
BRA,bra,TF,Sweden,Scheduled
BVI Airways,bvi-airways,XV,British Virgin Islands,Scheduled
Badr Airlines,badr-airlines,J4,Sudan,Scheduled
Bahamasair,bahamasair,UP,Bahamas,Scheduled
Balkan,balkan,БА,Bulgaria,Scheduled
Bamboo Airways,bamboo-airways,QH,Vietnam,Scheduled
Bangkok Airways,bangkok-airways,PG,Thailand,Scheduled
Bassaka Air,bassaka-air,5B,Cambodia,Scheduled
Batik Air,batik-air,ID,Indonesia,Scheduled
Batik Air Malaysia,batik-air-malaysia,OD,Malaysia,Scheduled
BeOnd,beond,B4,Maldives,Scheduled
Bearskin Airlines,bearskin-airlines,JV,Canada,Scheduled
