carrier_key,name,iata,country,type,in_fetch_manifest,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,has_capture_folder,latest_capture_set,ok_pages,failed_pages,has_candidates,has_fact_file,has_review_file,prefilled_conditions_url,missing_fields,notes,matched_source_airline_id,enrichment_sources
serve-air,Serve Air,V6,Ukraine,Scheduled,no,,,Europe,https://viairlink.com,,,,,,,,,no,,0,0,no,no,no,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,vi-airlink-1704,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
severstal-air-company,Severstal Air Company,D2,Russia,Scheduled,no,en,,Europe,https://severstal-avia.ru,,,,,,,,,no,,0,0,no,yes,yes,,band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",severstal-air-company-695,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
shaheen-air,Shaheen Air,NL,Pakistan,Scheduled,no,,,Asia,,,,,,,,,,no,,0,0,no,yes,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,
shandong-airlines,Shandong Airlines,SC,China,Scheduled,yes,en,manual-priority,Asia,https://www.sda.cn,,,,,,,https://www.sda.cn/en/about/news/show/3195.html,,yes,2026-09-03,1,0,no,yes,no,https://www.sda.cn/en/about/news/show/3195.html,help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;article_selector;,1/6 urls imported from filled priority CSV; conditions_of_carriage_url prefilled from Duffel refs; please verify.,,
shanghai-airlines,Shanghai Airlines,FM,China,Scheduled,yes,en,manual-priority,Asia,https://www.ceair.com,,,,,,,https://www.ceair.com/global/en_static/Announcement/TravelTips/dsGeneralCondition/shanghaiAirlinesLuggageRules/shdomesticRules/,,yes,2026-09-03,0,1,no,yes,no,https://www.ceair.com/global/en_static/Announcement/TravelTips/dsGeneralCondition/shanghaiAirlinesLuggageRules/shdomesticRules/,help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;article_selector;,1/6 urls imported from filled priority CSV; conditions_of_carriage_url prefilled from Duffel refs; please verify.,,
sharp-airlines,Sharp Airlines,SH,Australia,Scheduled,no,en,,Australia/Pacific,https://sharpairlines.com.au,,https://sharpairlines.com.au/travel-information/baggage,https://sharpairlines.com.au/travel-information/baggage,https://sharpairlines.com.au/travel-information/baggage,,,,,no,,0,0,no,no,no,,band;help_root;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,sharp-airlines-528,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
shenzhen-airlines,Shenzhen Airlines,ZH,China,Scheduled,yes,en,manual-priority,Asia,https://www.shenzhenair.com,,https://globalpage.shenzhenair.com/zhair/cms/static/resources/images/doc/DomesticCarriageforPassengerAndBaggage_en.pdf,https://globalpage.shenzhenair.com/zhair/cms/static/resources/images/doc/DomesticCarriageforPassengerAndBaggage_en.pdf,https://globalpage.shenzhenair.com/zhair/cms/static/resources/images/doc/DomesticCarriageforPassengerAndBaggage_en.pdf,,,https://www.shenzhenair.com/szair_B2C/getStaticHtml.action?htmlName=termService,,yes,2026-09-03,0,4,no,yes,no,https://www.shenzhenair.com/szair_B2C/getStaticHtml.action?htmlName=termService,help_root;fare_conditions_url;checkin_url;article_selector;,"4/6 urls imported from filled priority CSV; conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",shenzhen-airlines-1825,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
shirak-avia,Shirak Avia,5G,Canada,Scheduled,no,en,,North America,https://mayair.com.mx,,,,,,,,,no,,0,0,no,no,no,,band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,mayair-124,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
shree-airlines,Shree Airlines,N9,Nigeria,Scheduled,no,en,,Africa,https://shreeairlines.com,,https://shreeairlines.com/baggage-cargo-fare,https://shreeairlines.com/baggage-cargo-fare,https://shreeairlines.com/baggage-cargo-fare,,,,,no,,0,0,no,no,no,,band;help_root;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,shree-airlines-1647,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
shun-tak-china-travel-ship,Shun Tak-China Travel Ship,8S,China,Scheduled,no,,,Asia,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,
sila,SiLA,СЛ,Russia,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,
sichuan-airlines,Sichuan Airlines,3U,China,Scheduled,yes,en,manual-priority,Asia,https://www.sichuanair.com,,,,https://www.sichuanair.com/3uair/static/excel/EXCESSBAGGAGECHARGE_.xlsx,,,https://www.scal.com.cn,,yes,2026-09-03,0,1,no,yes,no,https://www.scal.com.cn,help_root;baggage_checked_url;baggage_carryon_url;fare_conditions_url;checkin_url;article_selector;,"1/6 urls imported from filled priority CSV; conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",sichuan-airlines-930,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
silk-avia,Silk Avia,US,Uzbekistan,Scheduled,no,,,Asia,https://psaairlines.com,https://psaairlines.com/contact,,,,,,,,no,,0,0,no,no,no,,locale;band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,psa-airlines-464,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
silk-way-west-airlines,Silk Way West Airlines,7L,Cuba,Scheduled,no,,,Caribbean,https://silkwaywest.com,,,,,,,,,no,,0,0,no,no,no,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,silk-way-west-airlines-616,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
silkair,SilkAir,MI,Singapore,Scheduled,no,en,,Asia,,,,,,,,,,no,,0,0,no,yes,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,
silver-air,Silver Air,0P,Djibouti,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;band;region;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,
silver-airways,Silver Airways,3M,United States,Scheduled,yes,en-us,manual-priority,North America,https://www.silverairways.com,,https://www.silverairways.com/more-information/travel-policies/policy/baggage-policy,https://www.silverairways.com/more-information/travel-policies/policy/baggage-policy,https://www.silverairways.com/more-information/travel-policies/policy/optional-fees,https://www.silverairways.com/,https://checkins.silverairways.com/dx/3MCI/#/check-in/start?locale=en-GB,https://www.silverairways.com/docs/default-source/legal-documents/silver-airways-contract-of-carriage-05oct2021.pdf?sfvrsn=b273701b_1,,yes,2026-09-03,0,1,no,yes,no,https://www.silverairways.com/docs/default-source/legal-documents/silver-airways-contract-of-carriage-05oct2021.pdf?sfvrsn=b273701b_1,help_root;article_selector;,1/6 urls imported from filled priority CSV; conditions_of_carriage_url prefilled from Duffel refs; please verify.,,
singapore-airlines,Singapore Airlines,SQ,Singapore,Scheduled,yes,en-sg,1a,Southeast Asia,https://www.singaporeair.com,,https://www.singaporeair.com/en_UK/sg/travel-info/baggage/checked-baggage/,https://www.singaporeair.com/en_UK/sg/travel-info/baggage/cabin-baggage/,https://www.singaporeair.com/en_UK/sg/travel-info/baggage/additional-baggage-charges/,https://www.singaporeair.com/en_UK/sg/plan-travel/local-promotions/fare-types/,https://www.singaporeair.com/en_UK/sg/travel-info/check-in/,https://www.singaporeair.com/en_UK/sg/travel-info/conditions-carriage/,,yes,2026-09-03,0,6,no,yes,yes,https://www.singaporeair.com/en_UK/global_footer/conditions-carriage/,help_root;article_selector;,6/6 urls,singapore-airlines,C:\Users\kspellman\Documents\Codex\2026-08-24\vie\work\airline_research_data.json; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
skippers-aviation,Skippers Aviation,HK,Germany,Scheduled,no,,,Europe,https://vanilla-air.com,,https://skippers.com.au/baggage,https://skippers.com.au/baggage,https://skippers.com.au/baggage,,,,,no,,0,0,no,no,no,,locale;band;help_root;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,skippers-aviation-1302,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
