carrier_key,name,iata,country,type,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,notes,has_fact_file,has_review_file,matched_source_airline_id,enrichment_sources
air-dilijans,Air Dilijans,RM,Armenia,Scheduled,,,,https://armeniafly.com,,https://airdilijans.com/non-standard-baggage,https://airdilijans.com/non-standard-baggage,https://airdilijans.com/non-standard-baggage,,,https://armeniafly.com/conditions-of-carriage-en,,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-dilijans-807,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-djibouti,Air Djibouti,DJ,Djibouti,Scheduled,,,,https://air-djibouti.com,https://air-djibouti.com/contact.php,,,,,,,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-djibouti-1502,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-europa,Air Europa,UX,Spain,Scheduled,,,,https://www.aireuropa.com,,https://www.aireuropa.com/de/en/aea/travel-information/baggage/checked-baggage,https://www.aireuropa.com/de/en/aea/travel-information/baggage/carry-on-luggage,https://www.aireuropa.com/de/en/aea/travel-information/baggage/checked-baggage,,,https://www.aireuropa.com/uk/en/aea/travel-information/terms-and-conditions/conditions-of-carriage.html,,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-europa-980,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-greenland,Air Greenland,GL,Greenland,Scheduled,,,,https://as-agl-web-prod.azurewebsites.net,,https://agent.airgreenland.com/hc/en-us/articles/115005305567-Baggage,https://agent.airgreenland.com/hc/en-us/articles/115005305567-Baggage,https://agent.airgreenland.com/hc/en-us/articles/115005305567-Baggage,,,https://as-agl-web-prod.azurewebsites.net/media/5hkdqc4p/provisions-of-carriage-air-greenland.pdf,,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-greenland-1142,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/derived/baggage-summary.csv
air-iceland-connect,Air Iceland Connect,NY,Iceland,Scheduled,,,,,,,,,,,,,,yes,no,,
air-india-express,Air India Express,IX,India,Low-cost,,,,https://airindiaexpress.in,,,,,,,,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-india-express-1146,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-japan,Air Japan,NQ,Japan,Scheduled,,,,https://www.air-japan.co.jp,,,,,,,https://www.air-japan.co.jp/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no,air-japan-230,
air-kiribati,Air Kiribati,IK,Kiribati,Scheduled,,,,,,,,,,,,,,yes,no,,
air-koryo,Air Koryo,JS,North Korea,Scheduled,,,,https://airkoryo.com.kp,,,,,,,,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-koryo-842,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-libya,Air Libya,7I,Libya,Scheduled,,,,,,,,,,,,,,yes,no,,
air-macau,Air Macau,NX,Macao,Scheduled,,,,http://www.airmacau.com.mo,,https://www.airmacau.com.mo/mo/flightRules/luggage,https://www.airmacau.com.mo/mo/flightRules/luggage,https://www.airmacau.com.mo/mo/flightRules/luggage,,,http://www.airmacau.com.mo/,,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-macau-1152,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-madagascar,Air Madagascar,MD,Madagascar,Scheduled,,,,https://madagascarairlines.com,,https://madagascarairlines.com/en/plan-your-trip/baggage.html,https://madagascarairlines.com/en/plan-your-trip/baggage.html,https://madagascarairlines.com/en/plan-your-trip/baggage.html,,,https://madagascarairlines.com/en/informations/general-conditions-of-sale-and-carriage.html,,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-madagascar-830,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-mauritius,Air Mauritius,MK,Mauritius,Scheduled,,,,https://www.airmauritius.com,https://www.airmauritius.com/en/help/faq/special-assistance,https://www.airmauritius.com/en/before-you-fly/baggage/checked-baggage,https://www.airmauritius.com/en/before-you-fly/baggage/carry-on-baggage,https://www.airmauritius.com/en/before-you-fly/baggage/checked-baggage,,,https://www.airmauritius.com/conditions-of-carriage,,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-mauritius-1156,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-mekong,Air Mekong,P8,Vietnam,Scheduled,,,,,,,,,,,,,,yes,no,,
air-moana,Air Moana,NM,French Polynesia,Scheduled,,,,,,,,,,,,,,yes,no,,
air-moldova,Air Moldova,9U,Moldova,Scheduled,,,,https://www.airmoldova.md,,,,,,,https://www.airmoldova.md/terms-of-carriage-en/,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no,,
air-namibia,Air Namibia,SW,Namibia,Scheduled,,,,,,,,,,,,,,yes,no,,
air-niamey,Air Niamey,A7,Niger,Low-cost,,,,,,,,,,,,,,yes,no,,
air-niugini,Air Niugini,PX,Papua New Guinea,Scheduled,,,,https://www.airniugini.com.pg,https://www.airniugini.com.pg/help/frequently-asked-questions,https://www.airniugini.com.pg/travel-information/baggage,https://www.airniugini.com.pg/en-sg/travel-information/baggage/excess-baggage,https://www.airniugini.com.pg/travel-information/baggage,,,https://www.airniugini.com.pg/conditions-of-carriage/,,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-niugini-1158,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/derived/baggage-summary.csv
air-north,Air North,4N,Canada,Scheduled,,,,https://www.flyairnorth.com,,https://flyairnorth.com/baggage-carry-on/musical-instruments,https://flyairnorth.com/baggage-carry-on,https://flyairnorth.com/baggage-carry-on/musical-instruments,,,https://www.flyairnorth.com/support,,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-north-1157,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/derived/baggage-summary.csv
air-nostrum,Air Nostrum,YW,Spain,Scheduled,,,,https://airnostrum.es,,,,,,,,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-nostrum-1159,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-rarotonga,Air Rarotonga,GZ,Cook Islands,Scheduled,,,,https://airraro.com,,https://airraro.com/passenger-baggage,https://airraro.com/passenger-baggage,https://airraro.com/passenger-baggage,,,,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-rarotonga-1162,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-saint-pierre,Air Saint Pierre,PJ,France,Scheduled,,,,https://airsaintpierre.com,,https://airsaintpierre.com/travel-informations/luggage,https://airsaintpierre.com/travel-informations/luggage,https://airsaintpierre.com/travel-informations/luggage,,,https://airsaintpierre.com/general-conditions-of-carriage,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-saint-pierre-1163,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/derived/baggage-summary.csv
air-serbia,Air Serbia,JU,Serbia,Scheduled,,,,https://www.airserbia.com,,,,,,,https://www.airserbia.com/en/footer_copy_menu/legal/general-conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no,,
air-seychelles,Air Seychelles,HM,Seychelles,Scheduled,,,,https://www.airseychelles.com,,,,,,,https://www.airseychelles.com/en/conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no,,
air-tahiti,Air Tahiti,VT,French Polynesia,Scheduled,,,,https://www.airtahitinui.com,,,,,,,https://www.airtahitinui.com/uk-en/conditions-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no,,
air-tahiti-nui,Air Tahiti Nui,TN,France,Scheduled,,,,https://www.airtahitinui.com,,https://au.airtahitinui.com/excess-baggage,https://us.airtahitinui.com/baggage-allowances,https://au.airtahitinui.com/excess-baggage,,,https://www.airtahitinui.com/uk-en/conditions-carriage,,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-tahiti-nui-987,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/derived/baggage-summary.csv
