iata,name,officialWebsiteUrl,wikipediaUrl,wikidataUrl,sourceNotes
AUH,Zayed International Airport,https://www.zayedinternationalairport.ae/,https://en.wikipedia.org/wiki/Zayed_International_Airport,http://www.wikidata.org/entity/Q643562,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
JED,King Abdulaziz International Airport,https://www.kaia.sa/,https://en.wikipedia.org/wiki/King_Abdulaziz_International_Airport,http://www.wikidata.org/entity/Q153592,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
RUH,King Khalid International Airport,https://kkia.sa,https://en.wikipedia.org/wiki/King_Khalid_International_Airport,http://www.wikidata.org/entity/Q47157,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
KWI,Kuwait International Airport,http://www.kuwait-airport.com.kw/Index_e.htm,https://en.wikipedia.org/wiki/Kuwait_International_Airport,http://www.wikidata.org/entity/Q527157,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
TLV,Ben Gurion Airport,http://www.iaa.gov.il/he-il/airports/bengurion/pages/default.aspx,https://en.wikipedia.org/wiki/Ben_Gurion_Airport,http://www.wikidata.org/entity/Q181479,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
BAH,Bahrain International Airport,http://www.bahrainairport.com/,https://en.wikipedia.org/wiki/Bahrain_International_Airport,http://www.wikidata.org/entity/Q637639,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
HKG,Hong Kong International Airport,https://www.hongkongairport.com/,https://en.wikipedia.org/wiki/Hong_Kong_International_Airport,http://www.wikidata.org/entity/Q17704,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
SIN,Singapore Changi Airport,https://www.changiairport.com/,https://en.wikipedia.org/wiki/Changi_Airport,http://www.wikidata.org/entity/Q32159,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
ICN,Incheon International Airport,https://www.airport.kr,https://en.wikipedia.org/wiki/Incheon_International_Airport,http://www.wikidata.org/entity/Q20932,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
NRT,Narita International Airport,https://www.narita-airport.jp/,https://en.wikipedia.org/wiki/Narita_International_Airport,http://www.wikidata.org/entity/Q36454,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
HND,Tokyo International Airport,https://tokyo-haneda.com/zh-CHT,https://en.wikipedia.org/wiki/Haneda_Airport,http://www.wikidata.org/entity/Q204853,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
BKK,Suvarnabhumi Airport,https://suvarnabhumi.airportthai.co.th/,https://en.wikipedia.org/wiki/Suvarnabhumi_Airport,http://www.wikidata.org/entity/Q194316,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
KUL,Kuala Lumpur International Airport,https://airports.malaysiaairports.com.my,https://en.wikipedia.org/wiki/Kuala_Lumpur_International_Airport,http://www.wikidata.org/entity/Q500253,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
